PMID,IndexingMethod_x,MESH_x,IndexingMethod_y,DateRevised,MESH_y,MeshMatch,IndexingMatch
22929752,Automated,"['Analgesics--therapeutic use', 'Female', 'Frail Elderly', 'Geriatrics--standards', 'Humans', 'Male', 'Pain--diagnosis--drug therapy', ""Practice Patterns, Physicians'""]",Curated,20260317,"['Female', 'Humans', 'Male', 'Analgesics--therapeutic use', 'Frail Elderly', 'Geriatrics--standards', 'Pain--diagnosis--drug therapy', ""Practice Patterns, Physicians'"", 'Practice Guidelines as Topic']",False,False
22953318,Automated,"['Diabetes Mellitus, Type 2--drug therapy', 'Female', 'Humans', 'Hypoglycemic Agents--therapeutic use', 'Male', 'Metformin--therapeutic use', 'Thiazolidinediones--therapeutic use']",Curated,20260209,"['Female', 'Humans', 'Male', 'Diabetes Mellitus, Type 2--drug therapy', 'Hypoglycemic Agents--therapeutic use', 'Metformin--therapeutic use', 'Thiazolidinediones--therapeutic use', 'Randomized Controlled Trials as Topic']",False,False
22987745,Automated,"['Anti-Inflammatory Agents, Non-Steroidal--therapeutic use', 'Complementary Therapies', 'Humans', 'Migraine Disorders--prevention & control', 'Phytotherapy']",Curated,20260217,"['Humans', 'Anti-Inflammatory Agents, Non-Steroidal--therapeutic use', 'Complementary Therapies', 'Migraine Disorders--prevention & control', 'Phytotherapy', 'Practice Guidelines as Topic']",False,False
23008223,Automated,"['Evidence-Based Medicine--standards', 'Humans', 'Immunoglobulins, Intravenous--administration & dosage', 'Neurology--standards', 'Neuromuscular Diseases--drug therapy', 'Technology Assessment, Biomedical--standards']",Curated,20260217,"['Humans', 'Evidence-Based Medicine--standards', 'Immunoglobulins, Intravenous--administration & dosage', 'Neurology--standards', 'Neuromuscular Diseases--drug therapy', 'Technology Assessment, Biomedical--standards', 'Practice Guidelines as Topic']",False,False
23019206,Automated,"['Female', 'Humans', 'Leukemia--genetics', 'Male', 'Receptors, KIR--genetics']",Curated,20260520,"['Female', 'Humans', 'Male', 'Receptors, KIR--genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma--genetics']",False,False
23154674,Automated,"['Anti-Retroviral Agents--administration & dosage', 'Female', 'HIV Infections--drug therapy', 'Humans', 'Male', 'Pregnancy']",Curated,20260220,"['Female', 'Humans', 'Male', 'Pregnancy', 'Anti-Retroviral Agents--administration & dosage', 'HIV Infections--drug therapy', 'Practice Guidelines as Topic']",False,False
23341482,Automated,"['Breast Neoplasms--diagnosis--therapy', 'Female', 'Humans']",Curated,20260217,"['Female', 'Humans', 'Breast Neoplasms--diagnosis--therapy', 'Practice Guidelines as Topic']",False,False
23422786,Automated,"['Fluorodeoxyglucose F18', 'Head and Neck Neoplasms--diagnostic imaging', 'Humans', 'Positron-Emission Tomography--methods--standards', 'Radiopharmaceuticals']",Curated,20260217,"['Humans', 'Fluorodeoxyglucose F18', 'Head and Neck Neoplasms--diagnostic imaging', 'Positron-Emission Tomography--methods--standards', 'Radiopharmaceuticals', 'Practice Guidelines as Topic']",False,False
23439703,Automated,"['Anti-Inflammatory Agents, Non-Steroidal--therapeutic use', 'Complementary Therapies', 'Humans', 'Migraine Disorders--prevention & control', 'Phytotherapy']",Curated,20260217,"['Humans', 'Anti-Inflammatory Agents, Non-Steroidal--therapeutic use', 'Complementary Therapies', 'Migraine Disorders--prevention & control', 'Phytotherapy', 'Practice Guidelines as Topic']",False,False
23439705,Automated,"['Humans', 'Migraine Disorders--drug therapy--prevention & control']",Curated,20260217,"['Humans', 'Migraine Disorders--drug therapy--prevention & control', 'Practice Guidelines as Topic']",False,False
23460621,Automated,"['Anticonvulsants--therapeutic use', 'Chorea--drug therapy', 'Evidence-Based Medicine', 'Humans', 'Huntington Disease--drug therapy']",Curated,20260225,"['Humans', 'Anticonvulsants--therapeutic use', 'Chorea--drug therapy', 'Evidence-Based Medicine', 'Huntington Disease--drug therapy', 'Practice Guidelines as Topic']",False,False
23648923,Automated,"['Evidence-Based Medicine', 'Fibrinolytic Agents--therapeutic use', 'Heart Valve Diseases--complications--drug therapy', 'Hemorrhage--chemically induced--prevention & control', 'Humans', 'Societies, Medical', 'Thromboembolism--drug therapy--prevention & control', 'Thrombolytic Therapy']",Curated,20260225,"['Humans', 'Evidence-Based Medicine', 'Fibrinolytic Agents--therapeutic use', 'Heart Valve Diseases--complications--drug therapy', 'Hemorrhage--chemically induced--prevention & control', 'Societies, Medical', 'Thromboembolism--drug therapy--prevention & control', 'Thrombolytic Therapy', 'Practice Guidelines as Topic']",False,False
23774370,Automated,"['Critical Illness', 'Delirium--therapy', 'Humans', 'Hypnotics and Sedatives--therapeutic use', 'Pain Management--methods', 'Psychomotor Agitation--therapy']",Curated,20260220,"['Humans', 'Critical Illness', 'Delirium--therapy', 'Hypnotics and Sedatives--therapeutic use', 'Pain Management--methods', 'Psychomotor Agitation--therapy', 'Practice Guidelines as Topic']",False,False
23791446,Automated,"['Anaplastic Lymphoma Kinase', 'ErbB Receptors--genetics', 'Humans', 'Lung Neoplasms--diagnosis--drug therapy', 'Receptor Protein-Tyrosine Kinases--genetics']",Curated,20260226,"['Humans', 'Anaplastic Lymphoma Kinase', 'ErbB Receptors--genetics', 'Lung Neoplasms--diagnosis--drug therapy', 'Receptor Protein-Tyrosine Kinases--genetics', 'Practice Guidelines as Topic']",False,False
23866863,Automated,"['Cyclosporine--administration & dosage', 'Female', 'Humans', 'Immunosuppressive Agents--administration & dosage', 'Male', 'Psoriasis--drug therapy']",Curated,20260204,"['Female', 'Humans', 'Male', 'Cyclosporine--administration & dosage', 'Immunosuppressive Agents--administration & dosage', 'Psoriasis--drug therapy']",False,False
24013179,Automated,"['Animals', 'Antineoplastic Agents--pharmacology', 'Biomarkers, Tumor--analysis', 'Breast Neoplasms--drug therapy', 'Female', 'HIV Protease Inhibitors--pharmacology', 'HSP90 Heat-Shock Proteins--antagonists & inhibitors', 'Humans', 'Nelfinavir--pharmacology', 'Erb-b2 Receptor Tyrosine Kinases--analysis']",Curated,20260520,"['Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma--genetics', 'Phosphotransferases (Alcohol Group Acceptor)--genetics', 'Genetic Predisposition to Disease']",False,False
24121631,Automated,"['Adaptor Proteins, Vesicular Transport--metabolism', 'Amyloid beta-Peptides--metabolism', 'Animals', 'Brain--metabolism', 'Low Density Lipoprotein Receptor-Related Protein-1--metabolism', 'Neurons--metabolism']",Curated,20260204,"['Animals', 'Adaptor Proteins, Vesicular Transport--metabolism', 'Amyloid beta-Peptides--metabolism', 'Brain--metabolism', 'Low Density Lipoprotein Receptor-Related Protein-1--metabolism', 'Neurons--metabolism']",False,False
24127192,Automated,"['Academies and Institutes--standards', 'Albendazole--therapeutic use', 'Anticestodal Agents--therapeutic use', 'Evidence-Based Medicine', 'Female', 'Humans', 'Male', 'Neurocysticercosis--drug therapy', 'Neurology--standards']",Curated,20260225,"['Female', 'Humans', 'Male', 'Academies and Institutes--standards', 'Albendazole--therapeutic use', 'Anticestodal Agents--therapeutic use', 'Evidence-Based Medicine', 'Neurocysticercosis--drug therapy', 'Neurology--standards', 'Practice Guidelines as Topic']",False,False
24150064,Automated,"['Animals', 'DNA-Binding Proteins--metabolism', 'Embryo, Nonmammalian--metabolism', 'Endothelial Growth Factors--metabolism', 'Endothelium, Vascular--cytology', 'Extracellular Matrix Proteins--metabolism', 'Female', 'Gene Expression Regulation', 'Humans', 'Morphogenesis--physiology', 'Transcription Factors--metabolism', 'Xenopus Proteins--metabolism', 'Xenopus laevis--metabolism', 'rhoA GTP-Binding Protein--metabolism']",Curated,20260204,"['Animals', 'Female', 'Humans', 'DNA-Binding Proteins--metabolism', 'Embryo, Nonmammalian--metabolism', 'Endothelial Growth Factors--metabolism', 'Endothelium, Vascular--cytology', 'Extracellular Matrix Proteins--metabolism', 'Gene Expression Regulation', 'Morphogenesis--physiology', 'rhoA GTP-Binding Protein--metabolism', 'Transcription Factors--metabolism', 'Xenopus laevis--metabolism', 'Xenopus Proteins--metabolism']",False,False
24150175,Automated,"['Animals', 'Signal Transduction', 'Skin--metabolism', 'ras Proteins--metabolism']",Curated,20260204,"['Animals', 'ras Proteins--metabolism', 'Signal Transduction', 'Skin--metabolism']",False,False
24278968,Automated,"['Academies and Institutes--standards', 'Albendazole--therapeutic use', 'Anticestodal Agents--therapeutic use', 'Evidence-Based Medicine', 'Female', 'Humans', 'Male', 'Neurocysticercosis--drug therapy', 'Neurology--standards']",Curated,20260220,"['Female', 'Humans', 'Male', 'Academies and Institutes--standards', 'Albendazole--therapeutic use', 'Anticestodal Agents--therapeutic use', 'Evidence-Based Medicine', 'Neurocysticercosis--drug therapy', 'Neurology--standards', 'Practice Guidelines as Topic']",False,False
24278969,Automated,"['Academies and Institutes--standards', 'Albendazole--therapeutic use', 'Anticestodal Agents--therapeutic use', 'Evidence-Based Medicine', 'Female', 'Humans', 'Male', 'Neurocysticercosis--drug therapy', 'Neurology--standards']",Curated,20260220,"['Female', 'Humans', 'Male', 'Academies and Institutes--standards', 'Albendazole--therapeutic use', 'Anticestodal Agents--therapeutic use', 'Evidence-Based Medicine', 'Neurocysticercosis--drug therapy', 'Neurology--standards', 'Practice Guidelines as Topic']",False,False
24397976,Automated,"['General Practitioners--standards', 'Humans', ""Practice Patterns, Physicians'"", 'Stroke--diagnosis--therapy']",Curated,20260225,"['Humans', 'General Practitioners--standards', ""Practice Patterns, Physicians'"", 'Stroke--diagnosis--therapy', 'Practice Guidelines as Topic']",False,False
24429257,Automated,"['Alveolitis, Extrinsic Allergic--diagnosis', 'Female', 'Humans', 'Idiopathic Pulmonary Fibrosis--diagnosis', 'Lung--diagnostic imaging--pathology', 'Male', 'Radiography']",Curated,20260220,"['Female', 'Humans', 'Male', 'Alveolitis, Extrinsic Allergic--diagnosis', 'Idiopathic Pulmonary Fibrosis--diagnosis', 'Lung--diagnostic imaging--pathology', 'Radiography', 'Practice Guidelines as Topic']",False,False
24473836,Automated,"['Arrhythmias, Cardiac--therapy', 'Cardiac Resynchronization Therapy--methods', 'Female', 'Heart Failure--therapy', 'Humans', 'Pregnancy']",Curated,20260204,"['Female', 'Humans', 'Pregnancy', 'Arrhythmias, Cardiac--therapy', 'Cardiac Resynchronization Therapy--methods', 'Heart Failure--therapy', 'Practice Guidelines as Topic']",False,False
24577813,Automated,"['Breast Neoplasms--pathology--radiotherapy--surgery', 'Consensus', 'Female', 'Humans', 'Male', 'Mastectomy, Segmental--methods--standards', 'Medical Oncology--standards', 'Neoplasm Recurrence, Local--prevention & control', 'Radiation Oncology--standards', 'Societies, Medical']",Curated,20260217,"['Female', 'Humans', 'Male', 'Breast Neoplasms--pathology--radiotherapy--surgery', 'Consensus', 'Mastectomy, Segmental--methods--standards', 'Medical Oncology--standards', 'Neoplasm Recurrence, Local--prevention & control', 'Radiation Oncology--standards', 'Societies, Medical', 'Practice Guidelines as Topic']",False,False
24771408,Automated,"['Anemia, Neonatal--prevention & control', 'Erythrocyte Transfusion--statistics & numerical data', 'Erythropoietin--administration & dosage', 'Humans', 'Infant, Low Birth Weight--blood', 'Infant, Premature--blood']",Curated,20260211,"['Humans', 'Anemia, Neonatal--prevention & control', 'Erythrocyte Transfusion--statistics & numerical data', 'Erythropoietin--administration & dosage', 'Infant, Low Birth Weight--blood', 'Infant, Premature--blood']",False,False
24962976,Automated,"['Antirheumatic Agents--adverse effects', 'Arthritis, Rheumatoid--drug therapy', 'Herpesviridae Infections--etiology', 'Humans']",Curated,20260205,"['Humans', 'Antirheumatic Agents--adverse effects', 'Arthritis, Rheumatoid--drug therapy', 'Herpesviridae Infections--etiology', 'Observational Studies as Topic']",False,False
25025359,Automated,"['Anemia, Sickle Cell--complications', 'Humans', 'Hypertension, Pulmonary--diagnosis--therapy']",Curated,20260220,"['Humans', 'Anemia, Sickle Cell--complications', 'Hypertension, Pulmonary--diagnosis--therapy', 'Practice Guidelines as Topic']",False,False
25151508,Automated,"['Brain Neoplasms--diagnosis', 'Glioblastoma--diagnosis', 'Humans', 'Magnetic Resonance Imaging', 'Magnetic Resonance Spectroscopy', 'Positron-Emission Tomography', 'Tomography, Emission-Computed, Single-Photon']",Curated,20260217,"['Humans', 'Brain Neoplasms--diagnosis', 'Glioblastoma--diagnosis', 'Magnetic Resonance Imaging', 'Magnetic Resonance Spectroscopy', 'Positron-Emission Tomography', 'Tomography, Emission-Computed, Single-Photon', 'Practice Guidelines as Topic']",False,False
25158207,Automated,"['Atherosclerosis--drug therapy', 'Cholesterol, LDL--drug effects', 'Female', 'Humans', 'Hydroxymethylglutaryl-CoA Reductase Inhibitors--administration & dosage', 'Male']",Curated,20260220,"['Female', 'Humans', 'Male', 'Atherosclerosis--drug therapy', 'Cholesterol, LDL--drug effects', 'Hydroxymethylglutaryl-CoA Reductase Inhibitors--administration & dosage', 'Practice Guidelines as Topic']",False,False
25234211,Automated,"['Cariostatic Agents--therapeutic use', 'Dental Caries--prevention & control', 'Fluorides, Topical--therapeutic use', 'Humans']",Curated,20260217,"['Humans', 'Cariostatic Agents--therapeutic use', 'Dental Caries--prevention & control', 'Fluorides, Topical--therapeutic use']",False,False
25234211,Automated,"['Cariostatic Agents--therapeutic use', 'Dental Caries--prevention & control', 'Fluorides, Topical--therapeutic use', 'Humans']",Curated,20260317,"['Humans', 'Cariostatic Agents--therapeutic use', 'Dental Caries--prevention & control', 'Fluorides, Topical--therapeutic use', 'Practice Guidelines as Topic']",False,False
25366364,Automated,"['Brain Neoplasms--diagnosis', 'Glioblastoma--diagnosis', 'Humans', 'Magnetic Resonance Imaging', 'Magnetic Resonance Spectroscopy', 'Positron-Emission Tomography', 'Tomography, Emission-Computed, Single-Photon']",Curated,20260217,"['Humans', 'Brain Neoplasms--diagnosis', 'Glioblastoma--diagnosis', 'Magnetic Resonance Imaging', 'Magnetic Resonance Spectroscopy', 'Positron-Emission Tomography', 'Tomography, Emission-Computed, Single-Photon', 'Practice Guidelines as Topic']",False,False
26305759,Automated,"['Biological Specimen Banks', 'Biomedical Research', 'Consent Forms', 'Humans', 'Informed Consent', 'Research']",Curated,20260220,"['Humans', 'Biological Specimen Banks', 'Biomedical Research', 'Consent Forms', 'Informed Consent', 'Research', 'Guidelines as Topic']",False,False
26459374,Automated,"['Anti-Bacterial Agents--administration & dosage', 'Humans', 'Sepsis--drug therapy--mortality']",Curated,20260217,"['Humans', 'Anti-Bacterial Agents--administration & dosage', 'Sepsis--drug therapy--mortality', 'Practice Guidelines as Topic']",False,False
26459374,Automated,"['Anti-Bacterial Agents--administration & dosage', 'Humans', 'Sepsis--drug therapy--mortality']",Curated,20260317,"['Humans', 'Anti-Bacterial Agents--administration & dosage', 'Practice Guidelines as Topic', 'Sepsis--drug therapy--mortality', 'Meta-Analysis as Topic']",False,False
26632362,Automated,"['Consensus', 'Genome, Human', 'Humans']",Curated,20260204,"['Humans', 'Genome, Human']",False,False
26632362,Automated,"['Consensus', 'Genome, Human', 'Humans']",Curated,20260420,"['Humans', 'Genome, Human']",False,False
26747469,Automated,"['Genetic Counseling', 'Humans', 'Neoplasms--genetics', 'Sequence Analysis, DNA--methods']",Curated,20260205,"['Humans', 'Genetic Counseling', 'Neoplasms--genetics', 'Sequence Analysis, DNA--methods']",False,False
26866613,Automated,"['Antirheumatic Agents', 'Arthritis, Rheumatoid', 'Biological Factors', 'Humans', 'Neoplasms', 'Rheumatology', 'United States']",Curated,20260217,"['Humans', 'Antirheumatic Agents', 'Arthritis, Rheumatoid', 'Biological Factors', 'Neoplasms', 'Rheumatology', 'United States', 'Practice Guidelines as Topic']",False,False
26866628,Automated,"['Acute Kidney Injury--blood', 'Critical Care', 'Critical Illness', 'Humans', 'Intensive Care Units', 'Prospective Studies']",Curated,20260209,"['Humans', 'Acute Kidney Injury--blood', 'Critical Care', 'Critical Illness', 'Intensive Care Units', 'Prospective Studies']",False,False
26867149,Automated,"['Antirheumatic Agents', 'Arthritis, Rheumatoid', 'Biological Factors', 'Humans', 'Neoplasms', 'Rheumatology', 'United States']",Curated,20260217,"['Humans', 'Antirheumatic Agents', 'Arthritis, Rheumatoid', 'Biological Factors', 'Neoplasms', 'Rheumatology', 'United States', 'Practice Guidelines as Topic']",False,False
26921095,Automated,"['Biopsy', 'Brain Neoplasms', 'Glioma', 'Humans']",Curated,20260217,"['Humans', 'Biopsy', 'Brain Neoplasms', 'Glioma', 'Practice Guidelines as Topic']",False,False
26946037,Automated,"['Australia', 'Body Mass Index', 'Breast Neoplasms', 'Humans', 'Incidence', 'Obesity', 'Overweight', 'Risk Factors']",Curated,20260204,"['Humans', 'Australia', 'Body Mass Index', 'Breast Neoplasms', 'Incidence', 'Obesity', 'Overweight', 'Risk Factors']",False,False
26974727,Automated,"['Antirheumatic Agents--therapeutic use', 'Arthritis, Rheumatoid--drug therapy', 'Biological Products--therapeutic use', 'Glucocorticoids--therapeutic use', 'Humans']",Curated,20260220,"['Humans', 'Antirheumatic Agents--therapeutic use', 'Arthritis, Rheumatoid--drug therapy', 'Biological Products--therapeutic use', 'Glucocorticoids--therapeutic use', 'Practice Guidelines as Topic']",False,False
26988416,Automated,"['Adrenal Cortex Hormones--therapeutic use', 'Adult', 'Critical Care', 'Fluid Therapy', 'Humans', 'Neuromuscular Blocking Agents--therapeutic use', 'Respiratory Distress Syndrome--drug therapy']",Curated,20260204,"['Adult', 'Humans', 'Adrenal Cortex Hormones--therapeutic use', 'Critical Care', 'Fluid Therapy', 'Neuromuscular Blocking Agents--therapeutic use', 'Respiratory Distress Syndrome--drug therapy']",False,False
27024655,Automated,"['Humans', 'Prostate-Specific Antigen', 'Prostatic Neoplasms']",Curated,20260730,"['Humans', 'Prostate-Specific Antigen', 'Prostatic Neoplasms', 'Practice Guidelines as Topic']",False,False
27099205,Automated,"['Blood Flow Velocity', 'Cerebrovascular Circulation', 'Cross-Sectional Studies', 'Gestational Age', 'Glucose', 'Humans', 'Middle Cerebral Artery', 'Ultrasonography, Prenatal', 'Umbilical Arteries']",Curated,20260209,"['Humans', 'Blood Flow Velocity', 'Cerebrovascular Circulation', 'Cross-Sectional Studies', 'Gestational Age', 'Glucose', 'Middle Cerebral Artery', 'Ultrasonography, Prenatal', 'Umbilical Arteries']",False,False
27154306,Automated,"['Delivery, Obstetric', 'Female', 'Humans', 'Pregnancy', 'Pregnancy Outcome', 'Trial of Labor', 'Uterine Myomectomy', 'Uterine Rupture--epidemiology']",Curated,20260130,"['Female', 'Humans', 'Pregnancy', 'Delivery, Obstetric', 'Pregnancy Outcome', 'Trial of Labor', 'Uterine Myomectomy', 'Uterine Rupture--epidemiology']",False,False
27177402,Automated,"['ABO Blood-Group System--blood', 'Female', 'HELLP Syndrome', 'Humans', 'Pre-Eclampsia--blood', 'Pregnancy', 'Pregnancy Complications', 'Venous Thromboembolism']",Curated,20260130,"['Female', 'Humans', 'Pregnancy', 'ABO Blood-Group System--blood', 'HELLP Syndrome', 'Pre-Eclampsia--blood', 'Pregnancy Complications', 'Venous Thromboembolism']",False,False
27182918,Automated,"['Evidence-Based Medicine', 'Fibrinolytic Agents', 'Heparin, Low-Molecular-Weight', 'Humans', 'Venous Thromboembolism']",Curated,20260225,"['Humans', 'Evidence-Based Medicine', 'Fibrinolytic Agents', 'Heparin, Low-Molecular-Weight', 'Venous Thromboembolism', 'Practice Guidelines as Topic']",False,False
27317705,Automated,"['Anti-Bacterial Agents', 'Anti-Infective Agents', 'Cross Infection', 'Humans', 'Intraabdominal Infections', 'Prospective Studies']",Curated,20260209,"['Humans', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Cross Infection', 'Intraabdominal Infections', 'Prospective Studies']",False,False
27341045,Automated,"['Adult', 'Arnold-Chiari Malformation', 'Demography', 'Humans', 'Intracranial Pressure', 'Magnetic Resonance Imaging', 'Pseudotumor Cerebri']",Curated,20260209,"['Adult', 'Humans', 'Arnold-Chiari Malformation', 'Demography', 'Intracranial Pressure', 'Magnetic Resonance Imaging', 'Pseudotumor Cerebri']",False,False
27594388,Automated,"['Humans', 'Venous Thromboembolism--prevention & control']",Curated,20260226,"['Humans', 'Venous Thromboembolism--prevention & control', 'Practice Guidelines as Topic']",False,False
27681208,Automated,"['Eczema', 'Habits', 'Humans', 'Prospective Studies', 'Quality of Life', 'Treatment Outcome']",Curated,20260205,"['Humans', 'Eczema', 'Habits', 'Prospective Studies', 'Quality of Life', 'Treatment Outcome', 'Observational Studies as Topic']",False,False
27837926,Automated,"['Death, Sudden, Cardiac', 'Humans', 'Kidney Failure, Chronic', 'Renal Insufficiency, Chronic']",Curated,20260515,"['Humans', 'Death, Sudden, Cardiac', 'Kidney Failure, Chronic', 'Renal Insufficiency, Chronic']",False,False
28029605,Automated,"['Bone Neoplasms--secondary', 'Humans', 'Oncologists']",Curated,20260225,"['Humans', 'Bone Neoplasms--secondary', 'Oncologists', 'Practice Guidelines as Topic']",False,False
28501292,Automated,"['Medicare', 'Medicine', 'Schools, Medical', 'Sex Factors', 'Students, Medical', 'United States']",Curated,20260512,"['Medicare', 'Medicine', 'Schools, Medical', 'Sex Factors', 'Students, Medical', 'United States', 'Humans', 'Male', 'Female']",False,False
28630975,Automated,"['Female', 'Genital Diseases, Female', 'Gynecological Examination', 'Humans', 'Mass Screening']",Curated,20260220,"['Female', 'Humans', 'Genital Diseases, Female', 'Gynecological Examination', 'Mass Screening', 'Practice Guidelines as Topic']",False,False
28801821,Automated,"['Breast Neoplasms', 'Carcinoma, Ductal, Breast', 'Carcinoma, Intraductal, Noninfiltrating', 'Consensus', 'Humans', 'Mastectomy, Segmental']",Curated,20260220,"['Humans', 'Breast Neoplasms', 'Carcinoma, Ductal, Breast', 'Carcinoma, Intraductal, Noninfiltrating', 'Consensus', 'Mastectomy, Segmental']",False,False
